DET,Win,WAS
MEM,Win,DAL
SA,Win,NO
GS,Win,CHA
LAC,Win,SAC
ATL,Win,CHI
WAS,Loss,DET
MIA,Win,UTA
HOU,Win,MEM
NO,Loss,IND
MIL,Loss,CLE
DEN,Win,CHA
POR,Win,PHO
GS,Loss,LAL
BKN,Win,PHI
NY,Win,MIN
ORL,Loss,UTA
SA,Win,DAL
PHO,Loss,LAC
SAC,Win,POR
BKN,Loss,BOS
LAL,Win,NY
MIA,Win,OKC
CHI,Loss,HOU
LAC,Win,DEN
WAS,Loss,CLE
CHA,Loss,MIA
ORL,Loss,NO
ATL,Win,DET
MEM,Loss,PHI
MIL,Win,BKN
MIN,Loss,HOU
SA,Win,TOR
PHO,Loss,NY
DEN,Win,LAL
UTA,Loss,GS
POR,Win,SAC
OKC,Win,DAL
LAC,Win,BOS
WAS,Win,ORL
IND,Win,PHO
BKN,Win,CHA
CLE,Loss,ATL
DET,Win,MIA
